,California,Florida,Virginia,New York,Texas,Nevada,Arizona,New Jersey,Massachusetts,South Carolina,North Carolina,New Mexico,Utah,Colorado,Tennessee,West Virginia,Hawaii,Illinois,Michigan,Kentucky,Ohio,Montana,Oregon,Connecticut,the District of Columbia,Georgia,Missouri,Wisconsin,Arkansas,Oklahoma,New Hampshire,Minnesota,Pennsylvania,Washington,Kansas,Idaho,Nebraska,Wyoming,Vermont,Alaska,Iowa,Rhode Island,Indiana,Alabama,Maryland,South Dakota,Mississippi,Maine,Delaware,Louisiana,North Dakota
2000-01-01,203008.0,116333.0,135541.0,149382.0,114626.0,163980.0,136954.0,186507.0,208573.0,123240.0,134985.0,,180569.0,186869.0,113965.0,67250.0,223540.0,148209.0,122865.0,92082.0,110464.0,,161973.0,173448.0,193025.0,131644.0,100792.0,118693.0,79699.0,79630.0,140760.0,135945.0,106244.0,176015.0,94200.0,126219.0,117734.0,,126646.0,130674.0,94281.0,145342.0,103485.0,101101.0,164110.0,116136.0,83739.0,116343.0,152139.0,106115.0,
2000-02-01,203871.0,116676.0,136027.0,150147.0,114751.0,164027.0,137286.0,187278.0,209565.0,123648.0,135316.0,,180718.0,187779.0,114153.0,67307.0,223419.0,148534.0,123071.0,92187.0,110627.0,,162490.0,174396.0,194027.0,132088.0,100995.0,118744.0,79869.0,79695.0,141457.0,136632.0,106604.0,176619.0,94262.0,126172.0,118045.0,,127014.0,130859.0,94566.0,146308.0,103422.0,101374.0,164136.0,115875.0,83751.0,116942.0,152536.0,106463.0,
2000-03-01,204956.0,117040.0,136481.0,150785.0,114791.0,164345.0,137676.0,187923.0,210601.0,123921.0,135599.0,,180927.0,188642.0,114299.0,67377.0,223916.0,148976.0,123462.0,92321.0,110800.0,,162891.0,175279.0,194961.0,132531.0,101244.0,118989.0,80019.0,79910.0,142183.0,137173.0,106894.0,177136.0,94427.0,126284.0,118278.0,,127483.0,131009.0,94800.0,147193.0,103324.0,101524.0,164341.0,115512.0,83796.0,117388.0,152947.0,106669.0,
2000-04-01,207240.0,117745.0,137297.0,152133.0,114999.0,165019.0,138436.0,189312.0,212553.0,124551.0,136187.0,,181417.0,190590.0,114627.0,67502.0,224608.0,149846.0,124158.0,92617.0,111250.0,,163721.0,176669.0,197076.0,133417.0,101770.0,119299.0,80322.0,80245.0,143167.0,138426.0,107461.0,178142.0,94636.0,126458.0,118663.0,,128329.0,131135.0,95288.0,148881.0,102865.0,101864.0,164762.0,115109.0,83953.0,118371.0,153814.0,107133.0,
2000-05-01,209689.0,118415.0,138012.0,153352.0,115048.0,165736.0,139228.0,190518.0,214454.0,125027.0,136739.0,,183294.0,192517.0,114917.0,67626.0,225969.0,150741.0,125012.0,92933.0,111794.0,,164325.0,177629.0,199051.0,134262.0,102349.0,119772.0,80544.0,80643.0,144192.0,139593.0,107950.0,179091.0,94900.0,126870.0,118787.0,,129156.0,131380.0,95749.0,150327.0,102734.0,102186.0,165486.0,115037.0,84369.0,119133.0,154707.0,107519.0,
2000-06-01,212238.0,119082.0,138658.0,154603.0,115120.0,166384.0,139847.0,191893.0,216429.0,125545.0,137281.0,,184905.0,194612.0,115157.0,67800.0,227314.0,151613.0,125821.0,93234.0,112379.0,,164847.0,178557.0,201306.0,135093.0,102920.0,120222.0,80735.0,80961.0,145195.0,140918.0,108396.0,179882.0,95153.0,127272.0,118844.0,,129824.0,131476.0,96152.0,151202.0,102848.0,102546.0,166229.0,114891.0,84842.0,119972.0,155595.0,107903.0,
2000-07-01,214885.0,119739.0,139489.0,155623.0,115125.0,166893.0,140505.0,193347.0,218776.0,126003.0,137769.0,,186444.0,196621.0,115411.0,68012.0,228587.0,152573.0,126739.0,93569.0,112874.0,,165232.0,179577.0,203330.0,135894.0,103522.0,120806.0,80908.0,81299.0,146670.0,142311.0,108847.0,180758.0,95498.0,127619.0,118874.0,,130462.0,131863.0,96535.0,152023.0,103448.0,102826.0,167053.0,114765.0,85222.0,120810.0,156440.0,108241.0,
2000-08-01,217691.0,120414.0,140436.0,156467.0,115342.0,167555.0,141140.0,195133.0,221689.0,126534.0,138210.0,,186639.0,198875.0,115661.0,68315.0,230166.0,153688.0,127586.0,93954.0,113334.0,,165707.0,180837.0,205003.0,136757.0,104196.0,121399.0,81146.0,81603.0,148305.0,144428.0,109241.0,181492.0,95861.0,127970.0,119097.0,,131114.0,131858.0,96819.0,152872.0,103874.0,103069.0,167731.0,114507.0,85547.0,121647.0,157155.0,108452.0,
2000-09-01,220513.0,121102.0,141458.0,157207.0,115595.0,168267.0,141898.0,197049.0,224876.0,127089.0,138641.0,,187132.0,201151.0,115989.0,68543.0,231662.0,154840.0,128363.0,94383.0,113793.0,,166069.0,182079.0,206211.0,137634.0,104865.0,121968.0,81430.0,81884.0,150012.0,146374.0,109657.0,182157.0,96191.0,128238.0,119341.0,,131853.0,132045.0,97154.0,154040.0,104186.0,103366.0,168451.0,114868.0,85842.0,122523.0,157803.0,108803.0,
2000-10-01,223188.0,121804.0,142385.0,158053.0,115858.0,168973.0,142593.0,198931.0,228194.0,127632.0,139122.0,,187562.0,203393.0,116285.0,68855.0,233295.0,155981.0,129085.0,94763.0,114244.0,,166469.0,183489.0,206161.0,138568.0,105586.0,122532.0,81722.0,82145.0,152064.0,148376.0,110052.0,182739.0,96562.0,128533.0,119597.0,,132811.0,131951.0,97596.0,155133.0,104573.0,103730.0,169246.0,115111.0,86256.0,123325.0,158382.0,109242.0,
